,,MESURES DE CENTRALITÉ,,,,,,,,,,,,
Ottlik,G.,1,2152,5,1726,5,1742,0.413,1423,0,2158,0.041,1107,
Oudemans,J. Th.,1,2153,19,659,19,712,0.396,1946,0,2159,0.018,1664,
Ould,Hermon,1,2154,5,1727,5,1743,0.413,1424,0,2160,0.041,1108,
Oumansky,,1,2155,73,116,75,157,0.461,377,41.3,546,0.172,87,
Pacheo,Felix,1,2156,6,1298,6,1317,0.375,2209,0,2161,0.013,1869,
Pacy,Frank,1,2157,5,1728,5,1744,0.413,1425,0,2162,0.041,1109,
Paget,Richard,1,2158,5,1729,5,1745,0.413,1426,0,2163,0.041,1110,
Pallier,,1,2159,1,2696,1,2698,0.369,2339,0,2164,0.005,2462,
Palmer,G. H.,1,2160,1,2697,1,2699,0.353,2607,0,2165,0.004,2653,
Pani,Albert I.,1,2161,6,1299,6,1318,0.413,1427,0,2166,0.042,726,
Pankhurst,S.,1,2162,1,2698,1,2700,0.399,1877,0,2167,0.009,2154,
Pantano,E.,1,2163,2,2313,2,2319,0.392,2047,0,2168,0.011,1958,
Paolini,Enrico,1,2164,5,1730,5,1746,0.413,1428,0,2169,0.041,1111,
Papadakis,N. J.,1,2165,1,2699,1,2701,0.336,2753,0,2170,0.002,2777,
Papillaut,,1,2166,5,1731,5,1747,0.413,1429,0,2171,0.041,1112,
Pappoulia,,1,2167,16,748,16,789,0.414,1047,0,2172,0.023,1534,
Pardo Correa,Carmela Cruchada,1,2168,4,1990,4,2003,0.383,2123,0,2173,0.012,1897,
Parigot,Hippolyte,1,2169,5,1732,5,1748,0.413,1430,0,2174,0.041,1113,
Paris,Pierre,1,2170,5,1733,5,1749,0.413,1431,0,2175,0.041,1114,
Parisi,Constantino,1,2171,5,1734,5,1750,0.403,1713,0,2176,0.013,1870,
Parker,Donald W.,1,2172,40,315,40,364,0.421,905,0,2177,0.042,727,
Parker,Laurence H.,1,2173,2,2314,2,2320,0.375,2210,0,2178,0.006,2368,
Parmoor,,1,2174,31,393,31,447,0.478,180,0,2179,0.092,282,
Parn,,1,2175,70,143,70,187,0.457,451,0,2180,0.15,130,
Parodi,,1,2176,3,2127,3,2140,0.392,2048,0,2181,0.011,1959,
Parra-Perez,M.,1,2177,17,710,17,750,0.458,412,0,2182,0.056,504,
Partridge,,1,2178,5,1735,5,1751,0.413,1432,0,2183,0.041,1115,
Pascal,Carlo,1,2179,13,837,13,874,0.463,354,0,2184,0.043,682,
Paschen,F.,1,2180,1,2700,1,2702,0.346,2721,0,2185,0.003,2747,
Pasquali,Giorgio,1,2181,13,838,13,875,0.463,355,0,2186,0.043,683,
Pasquier,A. du,1,2182,3,2128,3,2141,0.406,1673,0,2187,0.013,1871,
Pastrnek,,1,2183,27,475,27,525,0.429,788,0,2188,0.031,1393,
Pathe,Charles,1,2184,5,1736,5,1752,0.413,1433,0,2189,0.041,1116,
Patriciu,Titus,1,2185,6,1300,6,1319,0.421,906,0,2190,0.022,1557,
Patten,Nathan van,1,2186,6,1301,7,1223,0.446,589,0,2191,0.05,567,
Paul,H.,1,2187,5,1737,5,1753,0.413,1434,0,2192,0.041,1117,
Paul-Huguet,Edgart,1,2188,2,2315,2,2321,0.399,1878,0,2193,0.009,2155,
Pauler,A.,1,2189,28,447,28,491,0.434,719,0,2194,0.044,661,
Paulet,Pedro E.,1,2190,41,282,41,339,0.441,642,0,2195,0.07,392,
Pauli,,1,2191,3,2129,3,2142,0.407,1660,0,2196,0.013,1872,
Paullin,Charles O.,1,2192,1,2701,1,2703,0.36,2425,0,2197,0.005,2463,
Pavia,Angelo,1,2193,6,1302,6,1320,0.373,2270,0,2198,0.01,2037,
Payot,Samuel,1,2194,42,263,45,300,0.439,671,20.7,593,0.092,283,
Peacock,A. J.,1,2195,7,1196,7,1224,0.421,907,0,2199,0.018,1665,
Pearson,Alfred J.,1,2196,1,2702,1,2704,0.352,2678,0,2200,0.003,2748,
Pedrazzini,S.,1,2197,9,1017,9,1054,0.411,1622,0,2201,0.023,1535,
Pellati,Francesco,1,2198,12,876,12,905,0.458,413,0,2202,0.037,1300,
Pelzer,,1,2199,1,2703,1,2705,0.399,1879,0,2203,0.009,2156,
Perate,,1,2200,1,2704,1,2706,0.353,2608,0,2204,0.004,2654,
Percy,Eustace,1,2201,13,839,13,876,0.412,1604,0,2205,0.026,1472,
Pereire,Alfred,1,2202,1,2705,1,2707,0.306,2835,0,2206,0.001,2833,
Peretiatkowicz,,1,2203,5,1738,5,1754,0.413,1435,0,2207,0.041,1118,
Pericard,,1,2204,5,1739,5,1755,0.413,1436,0,2208,0.041,1119,
Pericoli,Paolo,1,2205,5,1740,5,1756,0.403,1714,0,2209,0.013,1873,
Perigord,Paul,1,2206,17,711,17,751,0.419,968,0,2210,0.045,628,
Perkins,J. J.,1,2207,1,2706,1,2708,0.295,2847,0,2211,0.001,2834,
Pernot,Hubert,1,2208,5,1741,5,1757,0.413,1437,0,2212,0.041,1120,
Perret,A. L.,1,2209,40,316,40,365,0.433,738,0,2213,0.075,353,
Perrier,Leon,1,2210,5,1742,5,1758,0.413,1438,0,2214,0.041,1121,
Perrier,Georges,1,2211,3,2130,3,2143,0.392,2049,0,2215,0.01,2038,
Perrier de Feral,,1,2212,5,1743,5,1759,0.413,1439,0,2216,0.041,1122,
Perrin-Duportal,Henriette,1,2213,2,2316,2,2322,0.401,1767,0,2217,0.012,1898,
Perrot,Jean,1,2214,1,2707,1,2709,0.322,2814,0,2218,0.001,2835,
Petersen,Carl S.,1,2215,11,920,11,954,0.462,368,0,2219,0.04,1286,
Petran,Coriolan,1,2216,21,605,21,657,0.405,1691,0,2220,0.028,1446,
Petronyevic,Brana,1,2217,8,1084,8,1115,0.418,994,0,2221,0.02,1600,
Petrovics,A.,1,2218,29,425,29,470,0.449,539,883.3,231,0.048,586,
Philip,,1,2219,5,1744,5,1760,0.413,1440,0,2222,0.041,1123,
Phipps,Eric,1,2220,10,967,10,997,0.413,1441,0,2223,0.024,1510,
Phusis,,1,2221,1,2708,1,2710,0.322,2815,0,2224,0.001,2836,
Piaget,,1,2222,5,1745,5,1761,0.413,1442,0,2225,0.041,1124,
Piau,O.,1,2223,9,1019,9,1055,0.411,1623,0,2226,0.023,1536,
Picard,J.,1,2224,5,1746,5,1762,0.413,1443,0,2227,0.041,1125,
Pick,Hans,1,2225,1,2709,1,2711,0.399,1880,0,2228,0.009,2157,
Pickard,Bertram,1,2226,1,2710,1,2712,0.346,2722,0,2229,0.003,2749,
Pickford,Alfred D.,1,2227,12,877,12,906,0.45,528,0,2230,0.033,1353,
Picton-Turvervill,Edith,1,2228,10,968,10,998,0.394,1976,0,2231,0.014,1819,
Pierat,,1,2229,5,1747,5,1763,0.413,1444,0,2232,0.041,1126,
Pierret,Robert,1,2230,5,1748,5,1764,0.413,1445,0,2233,0.041,1127,
Pieters,Maurice,1,2231,3,2131,3,2144,0.402,1737,0,2234,0.014,1820,
Pincherle,Salvatore,1,2232,3,2132,3,2145,0.392,2050,0,2236,0.01,2039,
Pintos ,Vino G. ,1,2233,1,2711,1,2713,0.36,2426,0,2237,0.005,2464,
Piper,Otto,1,2234,1,2712,1,2714,0.399,1881,0,2238,0.009,2158,
Pipping,Hugo,1,2235,9,1020,9,1056,0.413,1446,0,2239,0.018,1666,
Pirro,A.,1,2236,3,2133,3,2146,0.392,2051,0,2240,0.01,2040,
Pitamic,Leonid,1,2237,10,969,10,999,0.456,472,261.9,385,0.058,474,
Pittaluga,Gustavo,1,2238,21,606,21,658,0.336,2754,0,2241,0.007,2282,
Pla,,1,2239,31,395,31,448,0.459,399,0,2242,0.057,492,
Plugge,,1,2240,41,283,41,340,0.441,643,0,2243,0.07,393,
Polain,Marcel,1,2241,4,1991,4,2004,0.418,995,0,2244,0.015,1775,
Poland,F.,1,2242,13,841,13,877,0.447,568,0,2245,0.043,684,
Polgan,E.,1,2243,5,1749,5,1765,0.413,1447,0,2246,0.041,1128,
Politch,Ladislas,1,2244,8,1086,8,1117,0.418,996,0,2247,0.02,1601,
PollardAW,A. W.,1,2245,1,2713,1,2715,0.341,2729,0,2248,0.003,2750,
Pompiati,Charles,1,2246,6,1303,6,1321,0.383,2124,0,2249,0.01,2041,
Pons,,1,2247,9,1021,9,1057,0.447,569,0,2250,0.033,1354,
Pop,Marie M.,1,2248,6,1304,6,1322,0.421,908,0,2251,0.022,1558,
Pope,A. E.,1,2249,40,317,40,366,0.433,740,0,2252,0.075,354,
Popesco,Stelian,1,2250,5,1750,5,1766,0.413,1448,0,2253,0.041,1129,
Popoff,Kiril G.,1,2251,70,144,70,188,0.457,453,0,2254,0.15,131,
Popovitch,G.,1,2252,2,2317,2,2323,0.268,2862,0,2255,0,2860,
Portela,Ramire Hernandes,1,2253,70,145,70,189,0.457,454,0,2256,0.15,132,
Posnansky,Arturo,1,2254,1,2714,1,2716,0.353,2609,0,2257,0.004,2655,
Posse,Hans,1,2255,1,2715,1,2717,0.353,2610,0,2258,0.004,2656,
Potebuja,A.,1,2256,14,819,14,849,0.393,2000,0,2259,0.017,1714,
Potter,Frederick C.,1,2257,5,1751,5,1767,0.413,1449,0,2260,0.041,1130,
Pottier,E.,1,2258,6,1305,6,1323,0.426,838,0,2261,0.045,629,
Pouchine,N.,1,2259,16,749,16,790,0.434,720,0,2262,0.036,1318,
Poulsen,Frederik,1,2260,20,634,20,682,0.456,473,0,2263,0.041,1131,
Pourcherolle,,1,2261,1,2716,1,2718,0.353,2611,0,2264,0.004,2657,
Prado,Pedro,1,2262,1,2717,1,2719,0.353,2612,0,2266,0.004,2658,
Prager,Hans,1,2263,1,2718,1,2720,0.322,2816,0,2267,0.001,2837,
Preihs,Georg,1,2264,5,1752,5,1768,0.413,1450,0,2268,0.041,1132,
Preiss,Hans,1,2265,41,284,41,341,0.441,644,0,2269,0.07,394,
Prescott,,1,2266,5,1753,5,1769,0.413,1451,0,2270,0.041,1133,
Preuss,,1,2267,5,1754,5,1770,0.413,1452,0,2271,0.041,1134,
Pribram,,1,2268,70,146,70,190,0.457,455,0,2272,0.15,133,
Prittwitz und Gaffron,E. von,1,2269,5,1755,5,1771,0.413,1453,0,2273,0.041,1135,
Proebst,Herman,1,2270,4,1992,4,2005,0.402,1738,0,2276,0.012,1899,
Proh,Germaine,1,2271,12,878,12,908,0.46,389,0,2277,0.036,1319,
Proix,Jean,1,2272,5,1756,5,1772,0.413,1454,0,2278,0.041,1136,
Prunieres,Henry,1,2273,5,1757,5,1773,0.413,1455,0,2279,0.041,1137,
Przesmycki,Z.,1,2274,2,2319,2,2326,0.4,1792,0,2280,0.009,2159,
Przychocki,Gustave,1,2275,13,843,13,879,0.463,356,0,2281,0.043,685,
Puffer Morgan,Laura,1,2276,2,2320,2,2327,0.4,1793,0,2282,0.011,1961,
Pulaski,François,1,2277,5,1758,5,1774,0.413,1456,0,2283,0.041,1138,
Pullerits,A.,1,2278,70,147,70,191,0.457,456,0,2285,0.15,134,
Pury,Paul de,1,2279,1,2721,1,2722,0.353,2613,0,2286,0.004,2659,
Putnam,Herbert,1,2280,7,1198,7,1225,0.402,1739,0,2287,0.019,1625,
Puttemans,H.,1,2281,1,2722,1,2723,0.369,2341,0,2288,0.005,2466,
Putzeys,O.,1,2282,5,1759,5,1775,0.413,1457,0,2289,0.041,1139,
Pyke,Richard N.,1,2283,5,1760,5,1776,0.413,1458,0,2290,0.041,1140,
Quartier la Tente,Ed.,1,2284,1,2723,1,2724,0.369,2342,0,2291,0.005,2467,
Quensel,Annie,1,2285,5,1761,5,1777,0.413,1459,0,2292,0.041,1141,
Quervain,Fritz de,1,2286,3,2134,3,2147,0.392,2053,0,2293,0.01,2042,
Quesada,Armando,1,2287,4,1993,4,2006,0.438,676,0,2294,0.018,1667,
Quesnay,,1,2288,2,2321,2,2328,0.333,2764,0,2295,0.002,2778,
Quidde,L.,1,2289,4,1994,4,2007,0.375,2211,0,2296,0.009,2161,
Raadt,J. L. de,1,2290,1,2724,1,2725,0.353,2614,0,2297,0.004,2660,
Raalte,Van,1,2291,7,1199,7,1226,0.441,645,0,2298,0.026,1473,
Rabot,,1,2292,1,2725,1,2726,0.353,2615,0,2299,0.004,2661,
Rackham,B.,1,2293,1,2726,1,2727,0.353,2616,0,2300,0.004,2662,
Radford Sharpe,D.,1,2294,9,1022,9,1059,0.4,1794,0,2301,0.019,1626,
Radl,Em.,1,2295,27,477,27,527,0.429,790,0,2302,0.031,1394,
Radley,C. A.,1,2296,41,285,41,342,0.441,646,0,2303,0.07,395,
Rados,,1,2297,28,448,28,492,0.434,721,0,2304,0.044,662,
Raikert,Aloys de,1,2298,4,1995,4,2008,0.393,2001,0,2305,0.012,1900,
Rainprecht,A.,1,2299,5,1762,5,1778,0.413,1460,0,2306,0.041,1142,
Ranquet,H. du,1,2300,1,2727,1,2728,0.353,2617,0,2307,0.004,2663,
Ransford,F. B.,1,2301,5,1763,5,1779,0.413,1461,0,2308,0.041,1143,
Rantasalo,,1,2302,5,1764,5,1780,0.413,1462,0,2309,0.041,1144,
Rathke,Heinz Werner,1,2303,5,1765,5,1781,0.413,1463,0,2310,0.041,1145,
Rathuis de Limay,,1,2304,1,2728,1,2729,0.353,2618,0,2311,0.004,2664,
Rauchberg,Henri,1,2305,27,478,27,528,0.429,791,0,2312,0.031,1395,
Raupach,Bruno,1,2306,5,1766,5,1782,0.413,1464,0,2313,0.041,1146,
Ravasz,L.,1,2307,28,449,28,493,0.434,722,0,2314,0.044,663,
Ravier,Louis,1,2308,6,1307,6,1324,0.415,1031,0,2315,0.042,728,
Ray,G.,1,2309,1,2729,1,2730,0.399,1883,0,2316,0.009,2162,
Raynaud,L.,1,2310,21,608,21,659,0.336,2755,0,2317,0.007,2283,
Rebillon,A.,1,2311,5,1767,5,1783,0.413,1465,0,2318,0.041,1147,
Redslob,,1,2312,11,922,12,909,0.427,815,341.2,341,0.048,587,
Rees,Van,1,2313,11,923,11,955,0.397,1931,0,2319,0.016,1745,
ReesA,Aubrey,1,2314,44,249,46,286,0.446,590,65.8,507,0.093,270,
Refsdal,,1,2315,5,1768,5,1784,0.413,1466,0,2320,0.041,1148,
Reichel,Elfriede,1,2316,1,2730,1,2731,0.346,2723,0,2321,0.003,2751,
Reichmann,,1,2317,5,1769,5,1785,0.413,1467,0,2322,0.041,1149,
Reinach,Salomon,1,2318,1,2731,1,2732,0.353,2619,0,2323,0.004,2665,
Reinhard,Ethel O.,1,2319,1,2732,1,2733,0.36,2427,0,2324,0.005,2468,
Reinke-Block,Fr.,1,2320,5,1770,5,1786,0.441,647,0,2325,0.025,1486,
Remme,C.,1,2321,13,844,14,850,0.457,457,5.4,641,0.063,432,
Remon,Georges,1,2322,2,2322,2,2329,0.411,1624,0,2326,0.014,1822,
Remouchamps,,1,2323,6,1308,6,1325,0.426,839,0,2327,0.045,630,
Renaud,,1,2324,1,2733,1,2734,0.291,2855,0,2328,0,2861,
Rendu,Robert,1,2325,5,1771,5,1787,0.413,1468,0,2329,0.041,1150,
Renouvin,,1,2326,5,1772,5,1788,0.413,1469,0,2330,0.041,1151,
Restrepo,Antonio Gomez,1,2327,1,2734,1,2735,0.353,2620,0,2331,0.004,2666,
Reuter,Emile,1,2328,1,2735,1,2736,0.374,2244,0,2332,0.006,2370,
Reveillaud,,1,2329,1,2736,1,2737,0.36,2428,0,2333,0.005,2469,
Reyers,A. J.,1,2330,1,2737,1,2738,0.353,2621,0,2334,0.004,2667,
Reyes,Alfonso,1,2331,6,1309,6,1326,0.413,1470,0,2335,0.042,729,
Reynaud,Jean,1,2332,41,286,41,343,0.441,648,0,2336,0.07,396,
Reynow,,1,2333,19,661,19,714,0.396,1947,0,2337,0.018,1668,
Rich,Raymond,1,2334,8,1087,8,1119,0.419,969,0,2338,0.018,1669,
Richard,,1,2335,40,319,40,367,0.421,909,0,2339,0.042,730,
Richard,,1,2336,5,1773,5,1789,0.413,1471,0,2340,0.041,1152,
Richard,A.,1,2337,5,1774,5,1790,0.413,1472,0,2341,0.041,1153,
Richard,C.,1,2338,16,750,16,791,0.377,2168,0,2342,0.021,1574,
Richter,Claire,1,2339,2,2323,2,2330,0.382,2133,0,2343,0.009,2163,
Ricketts,Palmer C.,1,2340,1,2738,1,2739,0.36,2429,0,2344,0.005,2470,
Riddell,,1,2341,5,1775,5,1791,0.413,1473,0,2345,0.041,1154,
Ridley,Arthur F.,1,2342,4,1996,4,2009,0.441,649,0,2346,0.018,1670,
Riesser,,1,2343,5,1776,5,1792,0.413,1474,0,2347,0.041,1155,
Riezler,,1,2344,1,2739,1,2740,0.353,2622,0,2348,0.004,2668,
Riff,,1,2345,1,2740,1,2741,0.353,2623,0,2349,0.004,2669,
Rignano,Eugenio,1,2346,5,1777,5,1793,0.413,1475,0,2350,0.041,1156,
Rincones,Salustio Gonzalez,1,2347,5,1778,5,1794,0.413,1476,0,2351,0.041,1157,
Ring,E. M.,1,2348,40,320,40,368,0.421,910,0,2352,0.042,731,
Ringrose,Hyacinthe,1,2349,4,1997,4,2010,0.442,621,0,2353,0.025,1487,
Riotor,Leon,1,2350,5,1779,5,1795,0.413,1477,0,2354,0.041,1158,
Ripken,G.,1,2351,2,2324,2,2331,0.4,1795,0,2355,0.011,1962,
Risler,Georges,1,2352,5,1780,5,1796,0.413,1478,0,2356,0.041,1159,
Ritch,Noel,1,2353,5,1781,5,1797,0.413,1479,0,2357,0.041,1160,
Ritter,Phil.,1,2354,1,2741,1,2742,0.399,1884,0,2358,0.009,2164,
Rivero,Antonio C.,1,2355,1,2742,1,2743,0.328,2781,0,2359,0.002,2779,
Rivet,Paul,1,2356,15,793,15,821,0.448,552,0,2360,0.045,631,
Rivier,Louis,1,2357,4,1998,4,2011,0.352,2679,0,2361,0.004,2670,
Robert,,1,2358,2,2325,2,2332,0.284,2858,0,2362,0,2862,
Roberts,Walter,1,2359,6,1310,6,1327,0.422,879,0,2363,0.023,1537,
Roberts,Des,1,2360,1,2743,1,2744,0.353,2624,0,2364,0.004,2671,
Robertson,,1,2361,5,1782,5,1798,0.413,1480,0,2366,0.041,1161,
Robertson,David A.,1,2362,5,1783,5,1799,0.425,857,0,2365,0.02,1602,
Robertson,,1,2363,4,1999,4,2012,0.403,1715,0,2367,0.014,1823,
Robinson,Edgar. M.,1,2364,11,924,11,956,0.414,1048,0,2368,0.022,1559,
Robinson,Edward,1,2365,1,2744,1,2745,0.353,2625,0,2369,0.004,2672,
Robiquet,Jean,1,2366,4,2000,4,2013,0.415,1032,23.3,585,0.015,1776,
Robledo,,1,2367,1,2745,1,2746,0.353,2626,0,2370,0.004,2673,
Roch,,1,2368,1,2746,1,2747,0.374,2245,0,2371,0.006,2371,
Rochefoucauld,de La,1,2369,6,1311,6,1328,0.426,840,0,2372,0.045,632,
Rockefeller Junior,John,1,2370,4,2001,4,2014,0.37,2320,0,2373,0.006,2372,
Roddolo,,1,2371,2,2326,2,2333,0.327,2783,0,2374,0.002,2780,
Rodenwaldt,H.,1,2372,5,1784,5,1800,0.413,1481,0,2375,0.041,1162,
Rodriguez Beteta,Virgilio,1,2373,1,2747,1,2748,0.353,2627,0,2376,0.004,2674,
Roehrich,,1,2374,5,1785,5,1801,0.402,1740,0,2377,0.014,1824,
Roeve,Vand der,1,2375,5,1786,5,1802,0.413,1482,0,2378,0.041,1163,
Roger,,1,2376,14,821,14,851,0.39,2085,0,2379,0.033,1355,
Rogers,Edward S.,1,2377,3,2135,3,2148,0.413,1483,0,2380,0.013,1874,
Rogoz,,1,2378,40,321,40,369,0.433,741,0,2381,0.075,355,
Rohmkopf,Emile,1,2379,5,1787,5,1803,0.413,1484,0,2382,0.041,1164,
Roig de Leuchserning,Emilio,1,2380,6,1312,6,1329,0.426,841,0,2383,0.045,633,
Roig y Bergada,J.,1,2381,5,1788,5,1804,0.413,1485,0,2384,0.041,1165,
Rojas,Ricardo,1,2382,1,2748,1,2749,0.353,2628,0,2385,0.004,2675,
Rolland,,1,2383,5,1789,5,1805,0.413,1486,0,2386,0.041,1166,
Rollet,,1,2384,5,1790,5,1806,0.413,1487,0,2387,0.041,1167,
Rollet de l'Isle,,1,2385,2,2327,2,2334,0.375,2212,0,2388,0.006,2373,
Romniciano,Helene,1,2386,13,845,13,880,0.424,864,0,2390,0.024,1511,
Roncalgi,,1,2387,2,2329,2,2335,0.375,2213,0,2391,0.006,2375,
Ronze,Raymond,1,2388,5,1791,5,1807,0.413,1488,0,2392,0.041,1168,
Roo van Alderwereld,C. J. de,1,2389,5,1792,5,1808,0.413,1489,0,2393,0.041,1169,
Rooker,J. K.,1,2390,4,2002,4,2015,0.374,2246,0,2394,0.009,2165,
Rootsman,D.,1,2391,8,1088,8,1121,0.362,2373,0,2395,0.006,2376,
Roper,Albert,1,2392,3,2136,3,2150,0.38,2143,0,2396,0.008,2229,
Roquelaure,Jean,1,2393,7,1201,7,1227,0.408,1651,0,2397,0.018,1671,
Roques,Mario,1,2394,1,2749,1,2750,0.399,1885,0,2398,0.009,2166,
Roquette-Pinto,Edgar,1,2395,1,2750,1,2751,0.353,2629,0,2399,0.004,2676,
Rosenfeld,H. V.,1,2396,5,1793,5,1809,0.413,1490,0,2400,0.041,1170,
Rosenstock-Hussy,,1,2397,5,1794,5,1810,0.413,1491,0,2401,0.041,1171,
Rosenthal,Leon,1,2398,31,396,32,431,0.459,400,0,2402,0.057,493,
Roupinski,,1,2399,5,1795,5,1811,0.413,1492,0,2404,0.041,1172,
Rouse,Ruth,1,2400,3,2137,3,2152,0.39,2087,0,2405,0.011,1963,
Roussel,Jules,1,2401,20,635,21,661,0.456,474,0,2406,0.041,1173,
Roustan,Mario,1,2402,5,1796,5,1812,0.413,1493,0,2409,0.041,1174,
Rouville,A. de,1,2403,8,1089,8,1123,0.39,2088,0,2410,0.015,1778,
Roux,J. A.,1,2404,1,2753,1,2753,0.352,2680,0,2411,0.003,2752,
Roux-Parassac,,1,2405,41,287,41,344,0.441,650,0,2412,0.07,398,
Rouzic,Paul Le,1,2406,1,2754,1,2754,0.353,2630,0,2413,0.004,2677,
Rowland,,1,2407,1,2755,1,2755,0.353,2631,0,2414,0.004,2678,
Roy,Philippe,1,2408,10,971,10,1001,0.447,570,293,364,0.058,475,
Roy,Pierre Georges,1,2409,2,2331,2,2337,0.319,2828,0,2415,0.001,2838,
Roz,Firmin,1,2410,5,1797,5,1813,0.413,1494,0,2416,0.041,1175,
Rozsaffy,,1,2411,5,1798,5,1814,0.413,1495,0,2417,0.041,1176,
Ruellan,Francis,1,2412,5,1799,5,1815,0.413,1496,0,2418,0.041,1177,
Ruen,Jon. C.,1,2413,7,1203,7,1228,0.322,2817,0,2419,0.002,2781,
Rummel,Georg,1,2414,5,1800,5,1816,0.413,1497,0,2420,0.041,1178,
Ruppel,,1,2415,5,1801,5,1817,0.413,1498,0,2421,0.041,1179,
Rusiecka,Marie,1,2416,1,2756,1,2756,0.374,2247,0,2422,0.006,2377,
Russell,Frank M.,1,2417,3,2138,3,2153,0.418,997,0,2423,0.016,1746,
Rutkowski,J.,1,2418,3,2139,3,2154,0.392,2054,0,2424,0.01,2043,
Ruuth,J. W.,1,2419,9,1024,9,1060,0.413,1499,0,2425,0.018,1672,
Ruzette,,1,2420,11,925,11,959,0.409,1641,0,2426,0.028,1447,
Rygiel,Stefan,1,2421,5,1802,5,1818,0.413,1500,0,2427,0.041,1180,
Saavedra,Bautista,1,2422,6,1314,6,1330,0.426,842,0,2428,0.045,634,
Sabbe,,1,2423,31,397,31,450,0.459,401,0,2429,0.057,494,
Sadler,Michael,1,2424,8,1091,8,1125,0.426,843,0,2430,0.025,1489,
Sadoul,Ch.,1,2425,1,2757,1,2757,0.353,2632,0,2431,0.004,2679,
Sadoveanu,Radula,1,2426,5,1803,5,1819,0.401,1768,0,2432,0.011,1964,
Sakatani,Yoshiro,1,2427,7,1204,7,1229,0.332,2770,0,2433,0.002,2782,
Sakotowski,Ceslas,1,2428,5,1804,5,1820,0.358,2445,0,2434,0.01,2044,
Saladin,,1,2429,5,1805,5,1821,0.413,1501,0,2435,0.041,1181,
Salama Effendi,Abdalla,1,2430,8,1093,8,1127,0.419,970,0,2436,0.017,1716,
Saliamoras,B.,1,2431,1,2758,1,2758,0.399,1886,0,2437,0.009,2168,
Salis,de,1,2432,1,2759,1,2759,0.35,2695,0,2438,0.004,2680,
Sallois,H.,1,2433,8,1094,8,1128,0.428,806,0,2439,0.028,1448,
Salomon,Gottfried,1,2434,5,1806,5,1822,0.413,1502,0,2440,0.041,1182,
Saluzzo,di,1,2435,2,2332,2,2338,0.376,2185,0,2442,0.006,2378,
Sammons,Wheeler,1,2436,25,515,26,558,0.419,971,7.9,630,0.071,373,
Samurcas,Tzigara,1,2437,4,2003,5,1823,0.415,1033,0,2443,0.014,1825,
Samways,David,1,2438,11,927,11,960,0.426,844,0,2444,0.026,1474,
Sanchez Canton,,1,2439,13,846,14,852,0.459,402,4.4,646,0.063,433,
Sanctis,,1,2440,13,847,13,881,0.447,571,0,2445,0.043,688,
Sand,Rene,1,2441,44,250,46,287,0.446,591,65.8,508,0.093,271,
Sandbach,Francis E.,1,2442,2,2333,2,2339,0.399,1887,0,2446,0.009,2169,
Sandgren,Carl,1,2443,1,2761,1,2761,0.369,2345,0,2447,0.005,2474,
Sandler,,1,2444,70,148,70,193,0.457,458,0,2448,0.15,135,
Sangro y Ros de Olano,Pedro,1,2445,5,1807,5,1824,0.359,2443,0,2449,0.007,2285,
Santullano,L. A.,1,2446,3,2140,3,2155,0.4,1797,0,2450,0.013,1875,
Sappl,Hanns,1,2447,1,2762,1,2762,0.374,2248,0,2451,0.006,2379,
Sarran,Louis,1,2448,5,1808,5,1825,0.413,1503,0,2452,0.041,1183,
Sassaman,W. R.,1,2449,1,2763,1,2763,0.399,1888,0,2453,0.009,2170,
Sato,S.,1,2450,14,822,15,822,0.451,512,1.8,671,0.068,405,
Sauerlandt,Max,1,2451,1,2764,1,2764,0.353,2633,0,2454,0.004,2681,
Savart,P.,1,2452,5,1809,5,1826,0.413,1504,0,2455,0.041,1184,
Savary,Peter J.,1,2453,9,1025,9,1061,0.444,610,0,2456,0.028,1449,
Savornin,,1,2454,5,1810,5,1827,0.413,1505,0,2457,0.041,1185,
Sawayanagi,Masataro,1,2455,7,1205,7,1230,0.332,2771,0,2458,0.002,2783,
Sayegusa,S.,1,2456,2,2334,2,2340,0.3,2837,0,2459,0.001,2839,
Scelle,Georges,1,2457,5,1811,5,1828,0.413,1506,0,2460,0.041,1186,
Schauman,Georg,1,2458,40,322,40,370,0.421,911,0,2462,0.042,733,
Scheel,Otto,1,2459,5,1812,5,1829,0.413,1507,0,2463,0.041,1187,
Scheller,Richard,1,2460,5,1813,5,1830,0.401,1769,0,2464,0.014,1826,
Scherbatsky,A.,1,2461,7,1206,7,1231,0.418,998,0,2465,0.02,1603,
Schereschewsky,Ph.,1,2462,5,1814,5,1831,0.413,1508,0,2466,0.041,1188,
Scheu,Robert,1,2463,2,2336,2,2341,0.37,2321,0,2467,0.005,2475,
Scheuble,,1,2464,5,1815,5,1832,0.413,1509,0,2468,0.041,1189,
Schiffer,,1,2465,5,1816,5,1833,0.413,1510,0,2469,0.041,1190,
Schlesinger,,1,2466,16,752,16,792,0.434,723,0,2470,0.036,1320,
Schlossmann,,1,2467,1,2765,1,2765,0.399,1889,0,2471,0.009,2171,
Schmeil,Werner,1,2468,40,323,40,371,0.421,912,0,2472,0.042,734,
Schmid,E.,1,2469,6,1315,6,1331,0.411,1625,0,2473,0.017,1717,
Schmidt,Louis Bernard,1,2470,1,2766,1,2766,0.399,1890,0,2474,0.009,2172,
Schmidt,Von,1,2471,1,2767,1,2767,0.352,2681,0,2475,0.003,2753,
